ID;Requisito;Tipo;Módulo;Épico;Sistemas Envolvidos;Impacto;Categoria Técnica;Horas Base;Horas +30%;Onda;Justificativa Técnica
40;Parametrização de FIPE;Processo;Sinistro;Jornada do Sinistro;Processo/Sistema;Alto;M;300;390;Onda 1;Ajuste de parametrização
41;Visualização Sinistro por Item;Sistema;Sinistro;Jornada do Sinistro;Sistema de Sinistro;Alto;C;700;910;Onda 2;Modelo de visualização com dedução
42;Relatórios no COL;Sistema;Sinistro;Experiência do Cliente;COL;Alto;M;400;520;Autosserviço;Novos relatórios e filtros
43;Portal/APP Integrado Multi-perfil;Processo;Sinistro;Experiência do Cliente;Portal/APP novo/BOTs;Alto;MP;2500;3250;Onda 1;Portal multi-perfil com múltiplas jornadas
44;Capilaridade de Oficinas;Processo;Sinistro;Experiência do Cliente;Sistema de cadastro;Alto;M;300;390;Onda 1;Expansão de cadastro
45;Retroalimentação Cadastro Oficinas;Processo;Sinistro;Retroalimentação/Integração/Fraude;Workflow de retroalimentação;Alto;M;350;455;Onda 1;Automação de atualização
46;Veículos Especiais Remoção Peças;Processo;Sinistro;Automação de Pesados;Processo/Sistema;Alto;M;400;520;Onda 1;Configuração de regras de acionamento
47;Capacitação Veículos Pesados;Processo;Assistência;Automação de Pesados;Plataforma treinamento;Médio;M;350;455;Onda 1;Módulo de treinamento
48;Dados Cadastrais de Pesados;Processo;Assistência;Automação de Pesados;Processo/Sistema;Alto;C;600;780;Onda 2;Extensão de modelo de dados
49;Parametrização Tempo para Pesados;Sistema;Assistência;Automação de Pesados;Sistema de Assistência;Alto;C;700;910;Onda 2;SLA diferenciado com timeline
50;Apoio ao Passageiro;Processo;Assistência;Experiência do Cliente;Processo/Sistema;Médio;M;400;520;Despriorizado;Workflow de apoio com voucher
51;Formalizar Assistência Passageiro;Processo;Assistência;Especialização Técnica e Contratual;Processo/Documentação;Baixo;S;120;156;Onda 2;Documentação e parametrização
52;Abertura Atendimento por Evento;Sistema;Assistência;Jornada do Sinistro;Sistema de Assistência;Alto;MC;1000;1300;Onda 2;Modelo de evento unificado
53;Visão Serviços para Prestador;Sistema;Assistência;Assistência Digital Integrada;Sistema Assistência/Portal Prestador;Alto;C;800;1040;Onda 2;Dashboard completo com indicadores
54;Registro Negociações com Prestadores;Sistema;Assistência;Assistência Digital Integrada;Portal do Prestador;Alto;C;650;845;Onda 2;Módulo de negociações
55;Botão Possível Fraude;Processo;Assistência;Retroalimentação/Integração/Fraude;Sibel;Médio;C;600;780;Onda 1;Integração com Sibel
56;Lista de Fraude;Processo;Assistência;Retroalimentação/Integração/Fraude;Sistema novo/Compliance;Médio;MC;1200;1560;Onda 3;Sistema de blocklist
57;Mecanismos Anti-Fraude;Processo;Assistência;Retroalimentação/Integração/Fraude;Motor de regras;Médio;C;800;1040;Onda 1;Motor de regras de detecção
58;Regras de Flexibilização;Processo;Assistência;Especialização Técnica e Contratual;Sistema/Processo;Alto;M;400;520;Onda 1;Parametrização dinâmica
59;Vistoria Pré-Seguro Automatizada;Processo;Assistência;Especialização Técnica e Contratual;Workflow automatizado;Médio;C;600;780;Onda 1;Automação baseada em risco
60;Educação Prestadores (Terabox);Processo;Assistência;Especialização Técnica e Contratual;Plataforma educacional;Alto;M;350;455;Onda 1;Módulo de educação
61;Captura Informações Modal (Laudo Digital);Sistema;Assistência;Automação de Pesados;Sistemas Assistência/Sinistro/Nova Emissão R3;Alto;MC;1100;1430;Onda 3;Captura multimídia com múltiplas integrações
62;Prestadores-Chave Situações Específicas;Processo;Assistência;Automação de Pesados;Cadastro de prestadores;Baixo;M;350;455;Despriorizado;Extensão de cadastro
63;Isenção de Juros;Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP;Médio;C;750;975;Onda 3;Workflow + motor de regras + SAP
64;Automação de Devoluções;Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP;Alto;C;800;1040;Onda 2;Automação SAP complexa
65;Fluxo Financeiro-Comercial (Inadimplência);Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP/Sistema Legado;Médio;C;700;910;Onda 3;Integração SAP-Legado
66;Modelo de Faturamento;Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP/Cotador Auto Frota;Alto;MC;1400;1820;Onda 3;Novo modelo financeiro com SAP
67;Emissão Boleto D+0;Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP/Cotador/Orquestrador;Médio;C;700;910;Onda 3;Integração com orquestrador
68;Novos Meios de Pagamento (PIX);Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP/Cotador/Gateway;Baixo;C;600;780;Onda 3;Integração PIX e gateway
69;Régua Cobrança Órgãos Públicos;Processo;Financeiro;Automação e Autosserviço Financeiro;Processo/SAP;Médio;C;650;845;Onda 1;Modelo específico de régua
70;Jornadas Reemissão e Endosso;Sistema;Financeiro;Automação e Autosserviço Financeiro;Cotador/Sistema de Ticket;Médio;MC;1200;1560;Onda 3;Jornadas completas com automação
71;Campo Obrigatório Devolução Endosso;Sistema;Financeiro;Automação e Autosserviço Financeiro;SAP/Cotador;Médio;M;400;520;Onda 3;Formulário com validações
72;Ajuste Cálculo Cancelamento;Sistema;Financeiro;Automação e Autosserviço Financeiro;Cotador Auto Frota;Baixo;C;650;845;Despriorizado;Lógica de cálculo complexa
73;Fluxos Vigência com Financeiro;Processo;Financeiro;Automação e Autosserviço Financeiro;Processo/Sistema;Baixo;M;400;520;Despriorizado;Integração de comunicação
74;Regras de Arredondamento;Sistema;Financeiro;Automação e Autosserviço Financeiro;Cotador Auto Frota/Múltiplos sistemas;Alto;C;700;910;Onda 2;Padronização entre sistemas
75;Painel Acompanhamento Portal Cliente;Sistema;Financeiro;Experiência do Cliente;Portal do Cliente (PDC);Alto;MC;1300;1690;Autosserviço;Dashboard completo com integrações
76;Painel para Comercial Porto;Sistema;Financeiro;Experiência do Cliente;Portal da Produção/SAP;Médio;MC;1300;1690;Autosserviço;Dashboard gestão comercial
77;Indicadores Específicos para Frota;Processo;Cross;Experiência do Cliente;Múltiplos sistemas/NPS;Alto;C;700;910;Onda 1;KPIs com dashboards e NPS

